SA2_NAME16,SA2_MAIN16,Average Valuation
Edensor Park,127021514,1317.7185767924193
Fairfield,127021515,1374.3400178464744
Fairfield - West,127021516,1374.5057427979666
Greenfield Park - Prairiewood,127021517,1317.7185767924193
Horsley Park - Kemps Creek,127021518,203.70285499833903
Smithfield - Wetherill Park,127021519,1181.592039800995
St Johns Park - Wakeley,127021520,1318.0321626184939
Wetherill Park Industrial,127021521,1181.592039800995
Casula,127031522,1379.6810607418024
Chipping Norton - Moorebank,127031523,1379.6810607418024
Holsworthy - Wattle Grove,127031524,1655.2610892035757
Liverpool,127031598,1379.6810607418024
Lurnea - Cartwright,127031599,1183.7830226913682
Prestons - Edmondson Park,127031600,1754.6737771413461
Warwick Farm,127031601,1379.6810607418024
Gymea - Grays Point,128011529,1876.5635055937742
Miranda - Yowie Bay,128011530,1997.8374511299146
Sylvania - Taren Point,128011531,2341.738498179793
Caringbah,128011602,2232.5965932455783
Caringbah South,128011603,2236.842105263158
Cronulla - Kurnell - Bundeena,128011604,2084.188747672213
Lilli Pilli - Port Hacking - Dolans Bay,128011605,2236.842105263158
Woolaware - Burraneer,128011606,2815.399929287071
Heathcote - Waterfall,128021533,1396.9425408539798
Illawong - Alfords Point,128021534,1583.32089432888
Menai - Lucas Heights - Woronora,128021535,1602.541596155967
Oyster Bay - Como - Jannali,128021536,1696.4954590113537
Sutherland - Kirrawee,128021538,1831.6297127408964
Engadine,128021607,1396.9425408539798
Loftus - Yarrawarrah,128021608,1751.149317502018
Woronora Heights,128021609,1558.132121100502
